Schedule_ID,Route_Code,Stop_ID,Trip_Number,Direction,Operating_Days,Departure_Time
T-001,SEIBU_CRYSTAL,S-01,1,Outbound,Weekday,5:35
T-002,SEIBU_CRYSTAL,S-02,1,Outbound,Weekday,5:36
T-003,SEIBU_CRYSTAL,S-03,1,Outbound,Weekday,5:38
T-004,SEIBU_CRYSTAL,S-04,1,Outbound,Weekday,5:39
T-005,SEIBU_CRYSTAL,S-05,1,Outbound,Weekday,5:41
T-006,SEIBU_CRYSTAL,S-06,1,Outbound,Weekday,5:42
T-007,SEIBU_CRYSTAL,S-07,1,Outbound,Weekday,5:42
T-008,SEIBU_CRYSTAL,S-08,1,Outbound,Weekday,5:44
T-009,SEIBU_CRYSTAL,S-09,1,Outbound,Weekday,5:45
T-010,SEIBU_CRYSTAL,S-10,1,Outbound,Weekday,5:46
T-011,SEIBU_CRYSTAL,S-11,1,Outbound,Weekday,5:48
T-012,SEIBU_CRYSTAL,S-12,1,Outbound,Weekday,5:51
T-013,SEIBU_CRYSTAL,S-13,1,Outbound,Weekday,5:52
T-014,SEIBU_CRYSTAL,S-14,1,Outbound,Weekday,5:53
T-015,SEIBU_CRYSTAL,S-15,1,Outbound,Weekday,5:53
T-016,SEIBU_CRYSTAL,S-16,1,Outbound,Weekday,5:57
T-017,SEIBU_CRYSTAL,S-17,1,Outbound,Weekday,6:03
T-018,SEIBU_CRYSTAL,S-18,1,Outbound,Weekday,6:07
T-019,SEIBU_CRYSTAL,S-19,1,Outbound,Weekday,6:08
T-020,SEIBU_CRYSTAL,S-20,1,Outbound,Weekday,6:09
T-021,SEIBU_CRYSTAL,S-21,1,Outbound,Weekday,6:11
T-022,SEIBU_CRYSTAL,S-22,1,Outbound,Weekday,6:12
T-023,SEIBU_CRYSTAL,S-23,1,Outbound,Weekday,
T-024,SEIBU_CRYSTAL,S-24,1,Outbound,Weekday,6:12
T-025,SEIBU_CRYSTAL,S-25,1,Outbound,Weekday,6:12
T-026,SEIBU_CRYSTAL,S-26,1,Outbound,Weekday,6:12
T-027,SEIBU_CRYSTAL,S-27,1,Outbound,Weekday,6:18
T-028,SEIBU_CRYSTAL,S-01,2,Outbound,Weekday,8:20
T-029,SEIBU_CRYSTAL,S-02,2,Outbound,Weekday,8:21
T-030,SEIBU_CRYSTAL,S-03,2,Outbound,Weekday,8:23
T-031,SEIBU_CRYSTAL,S-04,2,Outbound,Weekday,8:24
T-032,SEIBU_CRYSTAL,S-05,2,Outbound,Weekday,8:26
T-033,SEIBU_CRYSTAL,S-06,2,Outbound,Weekday,8:27
T-034,SEIBU_CRYSTAL,S-07,2,Outbound,Weekday,8:27
T-035,SEIBU_CRYSTAL,S-08,2,Outbound,Weekday,8:29
T-036,SEIBU_CRYSTAL,S-09,2,Outbound,Weekday,8:30
T-037,SEIBU_CRYSTAL,S-10,2,Outbound,Weekday,8:31
T-038,SEIBU_CRYSTAL,S-11,2,Outbound,Weekday,8:33
T-039,SEIBU_CRYSTAL,S-12,2,Outbound,Weekday,8:36
T-040,SEIBU_CRYSTAL,S-13,2,Outbound,Weekday,8:37
T-041,SEIBU_CRYSTAL,S-14,2,Outbound,Weekday,8:38
T-042,SEIBU_CRYSTAL,S-15,2,Outbound,Weekday,8:38
T-043,SEIBU_CRYSTAL,S-16,2,Outbound,Weekday,8:42
T-044,SEIBU_CRYSTAL,S-17,2,Outbound,Weekday,8:48
T-045,SEIBU_CRYSTAL,S-18,2,Outbound,Weekday,8:52
T-046,SEIBU_CRYSTAL,S-19,2,Outbound,Weekday,8:53
T-047,SEIBU_CRYSTAL,S-20,2,Outbound,Weekday,8:54
T-048,SEIBU_CRYSTAL,S-21,2,Outbound,Weekday,8:56
T-049,SEIBU_CRYSTAL,S-22,2,Outbound,Weekday,8:57
T-050,SEIBU_CRYSTAL,S-23,2,Outbound,Weekday,8:58
T-051,SEIBU_CRYSTAL,S-24,2,Outbound,Weekday,8:59
T-052,SEIBU_CRYSTAL,S-25,2,Outbound,Weekday,9:00
T-053,SEIBU_CRYSTAL,S-26,2,Outbound,Weekday,9:00
T-054,SEIBU_CRYSTAL,S-27,2,Outbound,Weekday,9:08
T-055,SEIBU_CRYSTAL,S-01,3,Outbound,Weekday,9:40
T-056,SEIBU_CRYSTAL,S-02,3,Outbound,Weekday,9:41
T-057,SEIBU_CRYSTAL,S-03,3,Outbound,Weekday,9:43
T-058,SEIBU_CRYSTAL,S-04,3,Outbound,Weekday,9:44
T-059,SEIBU_CRYSTAL,S-05,3,Outbound,Weekday,9:46
T-060,SEIBU_CRYSTAL,S-06,3,Outbound,Weekday,9:47
T-061,SEIBU_CRYSTAL,S-07,3,Outbound,Weekday,9:47
T-062,SEIBU_CRYSTAL,S-08,3,Outbound,Weekday,9:49
T-063,SEIBU_CRYSTAL,S-09,3,Outbound,Weekday,9:50
T-064,SEIBU_CRYSTAL,S-10,3,Outbound,Weekday,9:51
T-065,SEIBU_CRYSTAL,S-11,3,Outbound,Weekday,9:53
T-066,SEIBU_CRYSTAL,S-12,3,Outbound,Weekday,9:56
T-067,SEIBU_CRYSTAL,S-13,3,Outbound,Weekday,9:57
T-068,SEIBU_CRYSTAL,S-14,3,Outbound,Weekday,9:58
T-069,SEIBU_CRYSTAL,S-15,3,Outbound,Weekday,9:58
T-070,SEIBU_CRYSTAL,S-16,3,Outbound,Weekday,10:02
T-071,SEIBU_CRYSTAL,S-17,3,Outbound,Weekday,10:08
T-072,SEIBU_CRYSTAL,S-18,3,Outbound,Weekday,10:12
T-073,SEIBU_CRYSTAL,S-19,3,Outbound,Weekday,10:13
T-074,SEIBU_CRYSTAL,S-20,3,Outbound,Weekday,10:14
T-075,SEIBU_CRYSTAL,S-21,3,Outbound,Weekday,10:16
T-076,SEIBU_CRYSTAL,S-22,3,Outbound,Weekday,10:17
T-077,SEIBU_CRYSTAL,S-23,3,Outbound,Weekday,10:18
T-078,SEIBU_CRYSTAL,S-24,3,Outbound,Weekday,10:19
T-079,SEIBU_CRYSTAL,S-25,3,Outbound,Weekday,10:20
T-080,SEIBU_CRYSTAL,S-26,3,Outbound,Weekday,10:20
T-081,SEIBU_CRYSTAL,S-27,3,Outbound,Weekday,10:28
T-082,SEIBU_CRYSTAL,S-01,4,Outbound,Weekday,11:50
T-083,SEIBU_CRYSTAL,S-02,4,Outbound,Weekday,11:51
T-084,SEIBU_CRYSTAL,S-03,4,Outbound,Weekday,11:53
T-085,SEIBU_CRYSTAL,S-04,4,Outbound,Weekday,11:54
T-086,SEIBU_CRYSTAL,S-05,4,Outbound,Weekday,11:56
T-087,SEIBU_CRYSTAL,S-06,4,Outbound,Weekday,11:57
T-088,SEIBU_CRYSTAL,S-07,4,Outbound,Weekday,11:57
T-089,SEIBU_CRYSTAL,S-08,4,Outbound,Weekday,11:59
T-090,SEIBU_CRYSTAL,S-09,4,Outbound,Weekday,12:00
T-091,SEIBU_CRYSTAL,S-10,4,Outbound,Weekday,12:01
T-092,SEIBU_CRYSTAL,S-11,4,Outbound,Weekday,12:03
T-093,SEIBU_CRYSTAL,S-12,4,Outbound,Weekday,12:06
T-094,SEIBU_CRYSTAL,S-13,4,Outbound,Weekday,12:07
T-095,SEIBU_CRYSTAL,S-14,4,Outbound,Weekday,12:08
T-096,SEIBU_CRYSTAL,S-15,4,Outbound,Weekday,12:08
