Route_Code,Stop_ID,Stop_Name_EN,Stop_Name_JP,Stop_Name_ZH_TR,Stop_Name_ZH_SI,Stop_Name_KO,Google_Maps_URL,Stop_Order,Fare
SEIBU_CRYSTAL,SC-01,Echigo-Yuzawa Sta. East Exit,湯沢駅前,越後湯澤站前,越后汤泽站前,에치고유자와역 앞,https://www.google.com/maps/search/?api=1&query=越後湯沢駅東口+バスのりば,1,0
SEIBU_CRYSTAL,SC-02,Yuzawa Medical Center,湯沢医療センター前,湯澤醫療中心前,汤泽医疗中心前,유자와 의료센터 앞,https://www.google.com/maps/search/?api=1&query=湯沢町保健医療センター+バス停,2,160
SEIBU_CRYSTAL,SC-03,Yuzawa Town Hall,湯沢役場前,湯澤町公所前,汤泽町公所前,유자와 정사무소 앞,https://www.google.com/maps/search/?api=1&query=湯沢町役場+バス停,3,160
SEIBU_CRYSTAL,SC-04,Kohara,小原,小原,小原,오하라,https://www.google.com/maps/search/?api=1&query=小原+バス停+新潟県湯沢町,4,160
SEIBU_CRYSTAL,SC-05,Tanaka,田中,田中,田中,다나카,https://www.google.com/maps/search/?api=1&query=田中+バス停+新潟県湯沢町,5,160
SEIBU_CRYSTAL,SC-06,Tozawa,戸沢,戶澤,户泽,도자와,https://www.google.com/maps/search/?api=1&query=戸沢+バス停+新潟県湯沢町,6,230
SEIBU_CRYSTAL,SC-07,Stella Tower Kandatsu,ステラタワー神立前,神立斯特拉塔前,神立斯特拉塔前,스텔라 타워 간다츠 앞,https://www.google.com/maps/search/?api=1&query=ステラタワー神立+バス停,7,230
SEIBU_CRYSTAL,SC-08,Nanakiri-shita,七谷切下,七谷切下,七谷切下,나나키리시타,https://www.google.com/maps/search/?api=1&query=七谷切下+バス停+新潟県湯沢町,8,230
SEIBU_CRYSTAL,SC-09,Nanakiri,七谷切,七谷切,七谷切,나나키리,https://www.google.com/maps/search/?api=1&query=七谷切+バス停+新潟県湯沢町,9,290
SEIBU_CRYSTAL,SC-10,Shibahara-shita,芝原下,芝原下,芝原下,시바하라시타,https://www.google.com/maps/search/?api=1&query=芝原下+バス停+新潟県湯沢町,10,290
SEIBU_CRYSTAL,SC-11,Shibahara,芝原,芝原,芝原,시바하라,https://www.google.com/maps/search/?api=1&query=芝原+バス停+新潟県湯沢町,11,370
SEIBU_CRYSTAL,SC-12,Yagisawa Entrance,八木沢口,八木澤口,八木泽口,야기사와 입구,https://www.google.com/maps/search/?api=1&query=八木沢口+バス停+新潟県湯沢町,12,400
SEIBU_CRYSTAL,SC-13,Roadside Station Mitsumata,道の駅みつまた前,道之驛三俁前,道之驿三俣前,미치노에키 미츠마타 앞,https://www.google.com/maps/search/?api=1&query=道の駅みつまた+バス停,13,400
SEIBU_CRYSTAL,SC-14,Mitsumata Chuo,三俣中央,三俁中央,三俣中央,미츠마타 중앙,https://www.google.com/maps/search/?api=1&query=三俣中央+バス停+新潟県湯沢町,14,400
SEIBU_CRYSTAL,SC-15,Kagura Mitsumata Ski Resort,かぐら三俣スキー場前,神樂三俁滑雪場前,神乐三俣滑雪场前,카구라 미츠마타 스키장 앞,https://www.google.com/maps/search/?api=1&query=かぐらスキー場+みつまたステーション+バス停,15,400
SEIBU_CRYSTAL,SC-16,Kaikake Onsen,貝掛温泉,貝掛溫泉,贝挂温泉,카이카케 온천,https://www.google.com/maps/search/?api=1&query=貝掛温泉+バス停,16,460
SEIBU_CRYSTAL,SC-17,Futai Tashiro Ski Resort,二居田代スキー場前,二居田代滑雪場前,二居田代滑雪场前,후타이 다시로 스키장 앞,https://www.google.com/maps/search/?api=1&query=二居田代スキー場前+バス停,17,570
SEIBU_CRYSTAL,SC-18,Yamadorihara,やまどり原,山鳥原,山鸟原,야마도리하라,https://www.google.com/maps/search/?api=1&query=やまどり原+バス停+新潟県湯沢町,18,570
SEIBU_CRYSTAL,SC-19,Motohashi,元橋,元橋,元桥,모토하시,https://www.google.com/maps/search/?api=1&query=元橋+バス停+新潟県湯沢町,19,650
SEIBU_CRYSTAL,SC-20,Tairappyo Trailhead,平標登山口,平標登山口,平标登山口,타이라표 등산로 입구,https://www.google.com/maps/search/?api=1&query=平標登山口+バス停,20,650
SEIBU_CRYSTAL,SC-21,Shirakabaguchi,白樺口,白樺口,白桦口,시라카바구치,https://www.google.com/maps/search/?api=1&query=白樺口+バス停+新潟県湯沢町,21,660
SEIBU_CRYSTAL,SC-22,Seibu Villa Entrance,西武ヴィラ入口,西武別墅入口,西武别墅入口,세이부 빌라 입구,https://www.google.com/maps/search/?api=1&query=西武ヴィラ入口+バス停+新潟県湯沢町,22,700
SEIBU_CRYSTAL,SC-23,Naeba Prince Hotel,苗場プリンスホテル前,苗場王子大飯店前,苗场王子大饭店前,나에바 프린스 호텔 앞,https://www.google.com/maps/search/?api=1&query=苗場プリンスホテル+バス停,23,700
SEIBU_CRYSTAL,SC-24,Asagai-shita,浅貝下,淺貝下,浅贝下,아사가이시타,https://www.google.com/maps/search/?api=1&query=浅貝下+バス停+新潟県湯沢町,24,700
SEIBU_CRYSTAL,SC-25,Asagai,浅貝,淺貝,浅贝,아사가이,https://www.google.com/maps/search/?api=1&query=浅貝+バス停+新潟県湯沢町,25,700
SEIBU_CRYSTAL,SC-26,Asagai-ue,浅貝上,淺貝上,浅贝上,아사가이우에,https://www.google.com/maps/search/?api=1&query=浅貝上+バス停+新潟県湯沢町,26,700
SEIBU_CRYSTAL,SC-27,Seibu Crystal,西武クリスタル前,西武水晶前,西武水晶前,세이부 크리스탈 앞,https://www.google.com/maps/search/?api=1&query=西武クリスタル前+バス停,27,700
KIYOTSU,K-01,Echigo-Yuzawa Sta.,越後湯沢駅,湯澤站前,汤泽站前,에치고유자와역 앞,https://www.google.com/maps/search/?api=1&query=越後湯沢駅東口+バスのりば,1,0
KIYOTSU,K-02,Onsengai Iriguchi,温泉街入口,溫泉街入口,温泉街入口,온센가이 입구,https://www.google.com/maps/search/?api=1&query=温泉街入口+バス停+新潟県湯沢町,2,160
KIYOTSU,K-03,Rakumachi,楽町,樂町,乐町,라쿠마치,https://www.google.com/maps/search/?api=1&query=楽町+バス停+新潟県湯沢町,3,160
KIYOTSU,K-04,Shimonaka Iriguchi,下中入口,下中入口,下中入口,시모나카 입구,https://www.google.com/maps/search/?api=1&query=下中入口+バス停+新潟県湯沢町,4,160
KIYOTSU,K-05,Yunozawa Iriguchi,湯之沢入口,湯之澤入口,汤之泽入口,유노자와 입구,https://www.google.com/maps/search/?api=1&query=湯之沢入口+バス停+新潟県湯沢町,5,160
KIYOTSU,K-06,Ishiuchi Hatsukai-guchi,石打ハツカ石口,石打初卡石口,石打初卡石口,이시우치 하츠카이시 입구,https://www.google.com/maps/search/?api=1&query=石打ハツカ石口+バス停,6,170
KIYOTSU,K-07,Ishiuchi Chuo-guchi,石打中央口,石打中央口,石打中央口,이시우치 주오 입구,https://www.google.com/maps/search/?api=1&query=石打中央口+バス停,7,230
KIYOTSU,K-08,Ishiuchi Maruyama Ski Resort ,石打丸山スキー場,石打丸山滑雪場入口,石打丸山滑雪场入口,이시우치 마루야마 스키장 입구,https://www.google.com/maps/search/?api=1&query=石打丸山スキー場入口+バス停,8,230
KIYOTSU,K-09,Ishiuchi Yubinkyoku-mae (Ishiuchi Post Office),石打郵便局前,石打郵局前,石打邮局前,이시우치 우체국 앞,https://www.google.com/maps/search/?api=1&query=石打郵便局前+バス停,9,270
KIYOTSU,K-10,Ueno,上野,上野,上野,우에노,https://www.google.com/maps/search/?api=1&query=上野+バス停+新潟県湯沢町,10,290
KIYOTSU,K-11,Ueno Kosen,上野鉱泉,上野礦泉,上野矿泉,우에노 고센,https://www.google.com/maps/search/?api=1&query=上野鉱泉+バス停,11,330
KIYOTSU,K-12,Kurashita Iriguchi,倉下入口,倉下入口,仓下入口,쿠라시타 입구,https://www.google.com/maps/search/?api=1&query=倉下入口+バス停+新潟県十日町市,12,430
KIYOTSU,K-13,Kiyotsukyo Iriguchi (Kiyotsu Gorge),清津峡入口,清津峽入口,清津峡入口,키요츠쿄 협곡 입구,https://www.google.com/maps/search/?api=1&query=清津峡入口+バス停+十日町市,13,500
DAIGENTA,D-01,Echigo-Yuzawa Sta.,湯沢駅前,湯澤站前,汤泽站前,에치고유자와역-앞,https://www.google.com/maps/search/?api=1&query=越後湯沢駅東口+バスのりば,1,0
DAIGENTA,D-02,Yuzawa Iryo Center-mae,湯沢医療センター前,湯澤醫療中心前,汤泽医疗中心前,유자와-의료센터-앞,https://www.google.com/maps/search/?api=1&query=湯沢医療センター前+バス停,2,160
DAIGENTA,D-03,Yuzawa Yakuba-mae,湯沢役場前,湯澤役場前,汤泽役场前,유자와-역사-앞,https://www.google.com/maps/search/?api=1&query=湯沢役場前+バス停,3,160
DAIGENTA,D-04,Miyabayashi,宮林,宮林,宫林,미야바야시,https://www.google.com/maps/search/?api=1&query=宮林+バス停+新潟県湯沢町,4,160
DAIGENTA,D-05,Harashinden,原新田,原新田,原新田,하라신덴,https://www.google.com/maps/search/?api=1&query=原新田+バス停+新潟県湯沢町,5,160
DAIGENTA,D-06,Yuzawa Gakuen,湯沢学園,湯澤學園,汤泽学园,유자와-학원,https://www.google.com/maps/search/?api=1&query=湯沢学園+バス停+新潟県湯沢町,6,200
DAIGENTA,D-07,Yuzawa Gakuen-Iriguchi,湯沢学園入口,湯澤學園入口,汤泽学园入口,유자와-학원-입구,https://www.google.com/maps/search/?api=1&query=湯沢学園入口+バス停,7,200
DAIGENTA,D-08,Chuo Koen-Iriguchi,中央公園入口,中央公園入口,中央公园入口,주오-공원-입구,https://www.google.com/maps/search/?api=1&query=中央公園入口+バス停+新潟県湯沢町,8,200
DAIGENTA,D-09,Pool Aurora-mae,プールオーロラ前,泳池極光前,泳池极光前,풀-오로라-앞,https://www.google.com/maps/search/?api=1&query=プールオーロラ前+バス停,9,200
DAIGENTA,D-10,Ishiuchi,岩原,岩原,岩原,이시우치,https://www.google.com/maps/search/?api=1&query=岩原+バス停+新潟県湯沢町,10,260
DAIGENTA,D-11,Ishiuchi Chuo,岩原中央,岩原中央,岩原中央,이시우치-주오,https://www.google.com/maps/search/?api=1&query=岩原中央+バス停+新潟県湯沢町,11,260
DAIGENTA,D-12,Ishiuchi-Iriguchi,岩原入口,岩原入口,岩原入口,이시우치-입구,https://www.google.com/maps/search/?api=1&query=岩原入口+バス停+新潟県湯沢町,12,260
DAIGENTA,D-13,Soena,添名,添名,添名,소에나,https://www.google.com/maps/search/?api=1&query=添名+バス停+新潟県湯沢町,13,330
DAIGENTA,D-14,Hara,原,原,原,하라,https://www.google.com/maps/search/?api=1&query=原+バス停+新潟県湯沢町旭原,14,330
