Schedule_ID,Route_Code,Stop_ID,Trip_Number,Direction,Operating_Days,Departure_Time,
BLS-01,BLUE,BL-01,1,Loop,Daily,8:00,
BLS-02,BLUE,BL-01,2,Loop,Daily,8:30,
BLS-03,BLUE,BL-01,3,Loop,Daily,9:00,
BLS-04,BLUE,BL-01,4,Loop,Daily,9:30,
BLS-05,BLUE,BL-01,5,Loop,Daily,10:00,
BLS-06,BLUE,BL-01,6,Loop,Daily,10:30,
BLS-07,BLUE,BL-01,7,Loop,Daily,12:00,
BLS-08,BLUE,BL-01,8,Loop,Daily,13:30,
BLS-09,BLUE,BL-01,9,Loop,Daily,15:30,
BLS-10,BLUE,BL-01,10,Loop,Daily,16:00,
BLS-11,BLUE,BL-01,11,Loop,Daily,16:30,
BLS-12,BLUE,BL-01,12,Loop,Daily,17:00,
BLS-13,BLUE,BL-11,1,Loop_Return,Daily,8:20,
BLS-14,BLUE,BL-11,2,Loop_Return,Daily,8:50,
BLS-15,BLUE,BL-11,3,Loop_Return,Daily,9:20,
BLS-16,BLUE,BL-11,4,Loop_Return,Daily,9:50,
BLS-17,BLUE,BL-11,5,Loop_Return,Daily,10:20,
BLS-18,BLUE,BL-11,6,Loop_Return,Daily,10:50,
BLS-19,BLUE,BL-11,7,Loop_Return,Daily,12:20,
BLS-20,BLUE,BL-11,8,Loop_Return,Daily,13:50,
BLS-21,BLUE,BL-11,9,Loop_Return,Daily,15:50,
BLS-22,BLUE,BL-11,10,Loop_Return,Daily,16:20,
BLS-23,BLUE,BL-11,11,Loop_Return,Daily,16:50,
BLS-24,BLUE,BL-11,12,Loop_Return,Daily,17:20,
OLS-01,ORANGE,OL-01,1,Loop,Daily,8:15,
OLS-02,ORANGE,OL-01,2,Loop,Daily,8:45,
OLS-03,ORANGE,OL-01,3,Loop,Daily,9:15,
OLS-04,ORANGE,OL-01,4,Loop,Daily,9:45,
OLS-05,ORANGE,OL-01,5,Loop,Daily,10:15,
OLS-06,ORANGE,OL-01,6,Loop,Daily,10:45,
OLS-07,ORANGE,OL-01,7,Loop,Daily,12:45,
OLS-08,ORANGE,OL-01,8,Loop,Daily,14:15,
OLS-09,ORANGE,OL-01,9,Loop,Daily,15:45,
OLS-10,ORANGE,OL-01,10,Loop,Daily,16:15,
OLS-11,ORANGE,OL-01,11,Loop,Daily,16:45,
OLS-12,ORANGE,OL-01,12,Loop,Daily,17:15,
OLS-13,ORANGE,OL-09,1,Loop_Return,Daily,8:39,
OLS-14,ORANGE,OL-09,2,Loop_Return,Daily,9:09,
OLS-15,ORANGE,OL-09,3,Loop_Return,Daily,9:39,
OLS-16,ORANGE,OL-09,4,Loop_Return,Daily,10:09,
OLS-17,ORANGE,OL-09,5,Loop_Return,Daily,10:39,
OLS-18,ORANGE,OL-09,6,Loop_Return,Daily,11:09,
OLS-19,ORANGE,OL-09,7,Loop_Return,Daily,13:09,
OLS-20,ORANGE,OL-09,8,Loop_Return,Daily,14:39,
OLS-21,ORANGE,OL-09,9,Loop_Return,Daily,16:09,
OLS-22,ORANGE,OL-09,10,Loop_Return,Daily,16:39,
OLS-23,ORANGE,OL-09,11,Loop_Return,Daily,17:09,
OLS-24,ORANGE,OL-09,12,Loop_Return,Daily,17:39,
IMS-01,ISHIUCHI_DIRECT,IM-01,1,Outbound_Loop,Daily,7:20,
IMS-02,ISHIUCHI_DIRECT,IM-03,1,To_Resort,Daily,7:35,
IMS-03,ISHIUCHI_DIRECT,IM-01,2,Outbound_Loop,Daily,8:05,
IMS-04,ISHIUCHI_DIRECT,IM-03,2,To_Resort,Daily,8:20,
IMS-05,ISHIUCHI_DIRECT,IM-01,3,Outbound_Loop,Daily,9:00,
IMS-06,ISHIUCHI_DIRECT,IM-03,3,To_Resort,Daily,9:15,
IMS-07,ISHIUCHI_DIRECT,IM-01,4,Outbound_Loop,Daily,9:40,
IMS-08,ISHIUCHI_DIRECT,IM-03,4,To_Resort,Daily,9:55,
IMS-09,ISHIUCHI_DIRECT,IM-01,5,Outbound_Loop,Daily,10:15,
IMS-10,ISHIUCHI_DIRECT,IM-03,5,To_Resort,Daily,10:30,
IMS-11,ISHIUCHI_DIRECT,IM-01,6,Outbound_Loop,Daily,11:25,
IMS-12,ISHIUCHI_DIRECT,IM-03,6,To_Resort,Daily,11:40,
IMS-13,ISHIUCHI_DIRECT,IM-01,7,To_Station,Daily,13:30,
IMS-14,ISHIUCHI_DIRECT,IM-03,7,To_Resort,Daily,13:47,
IMS-15,ISHIUCHI_DIRECT,IM-01,8,To_Station,Daily,14:45,
IMS-16,ISHIUCHI_DIRECT,IM-03,8,To_Resort,Daily,15:02,
IMS-17,ISHIUCHI_DIRECT,IM-01,9,To_Station,Daily,15:40,
IMS-18,ISHIUCHI_DIRECT,IM-03,9,To_Resort,Daily,15:57,
IMS-19,ISHIUCHI_DIRECT,IM-01,10,To_Station,Daily,16:35,
IMS-20,ISHIUCHI_DIRECT,IM-03,10,To_Resort,Daily,16:52,
IMS-21,ISHIUCHI_DIRECT,IM-01,11,To_Station,Daily,17:30,
