Route_Code,Stop_ID,Stop_Name_EN,Stop_Name_JP,Stop_Name_ZH_TR,Stop_Name_ZH_SI,Stop_Name_KO,Google_Maps_URL,Stop_Order,Fare
BLUE,BL-01,NASPA Ski Garden,NASPA,NASPA滑雪花園,NASPA滑雪花园,나스파-스키가든,https://www.google.com/maps/search/?api=1&query=NASPAニューオータニ+シャトルバス,1,0
BLUE,BL-02,Hirokawa Hotel,広川ホテル,廣川飯店,广川饭店,히로카와-호텔,https://www.google.com/maps/search/?api=1&query=広川ホテル+湯沢町,2,0
BLUE,BL-03,Lions Mansion No. 3,ライオンズ第3,獅子大廈第3,狮子大厦第3,라이온스-제3,https://www.google.com/maps/search/?api=1&query=ライオンズマンション越後湯沢第3,3,0
BLUE,BL-04,Echigo-Yuzawa Sta. West Exit (Inamoto-mae),越後湯沢駅西口(いなもと前),越後湯澤站西口(稻本前),越后汤泽站西口(稻本前),에치고유자와역-서구(이나모토-앞),https://www.google.com/maps/search/?api=1&query=湯沢温泉通+いなもと前,4,0
BLUE,BL-05,Kagetsu Hotel,松泉閣花月,松泉閣花月,松泉阁花月,쇼센카쿠-카게츠,https://www.google.com/maps/search/?api=1&query=松泉閣花月+湯沢町,5,0
BLUE,BL-06,Snow Country Museum,雪国資料館,雪國資料館,雪国资料馆,유키구니-자료관,https://www.google.com/maps/search/?api=1&query=雪国館+湯沢町,6,0
BLUE,BL-07,Yuzawa Kogen,湯沢高原,湯澤高原,汤泽高原,유자와-고원,https://www.google.com/maps/search/?api=1&query=湯沢高原ロープウェイ+山麓駅,7,0
BLUE,BL-08,Nunoba Minami-guchi,布場南口,布場南口,布场南口,누노바-미나미구치,https://www.google.com/maps/search/?api=1&query=布場スキー場+湯沢町,8,0
BLUE,BL-09,Takahan-shita,高半下,高半下,高半下,다카한-시타,https://www.google.com/maps/search/?api=1&query=雪国の宿+高半+湯沢町,9,0
BLUE,BL-10,GALA Yuzawa,GALA湯沢,GALA湯澤,GALA汤泽,갈라-유자와,https://www.google.com/maps/search/?api=1&query=ガーラ湯沢駅+スキー場,10,0
