Schedule_ID,Route_Code,Stop_ID,Trip_Number,Direction,Operating_Days,Departure_Time
SCH-BL-O01-01,BLUE,B-01,1,Outbound,Daily,08:00
SCH-BL-O01-02,BLUE,B-02,1,Outbound,Daily,08:01
SCH-BL-O01-03,BLUE,B-03,1,Outbound,Daily,08:01
SCH-BL-O01-04,BLUE,B-04,1,Outbound,Daily,08:02
SCH-BL-O01-05,BLUE,B-05,1,Outbound,Daily,08:02
SCH-BL-O01-06,BLUE,B-06,1,Outbound,Daily,08:02
SCH-BL-O01-07,BLUE,B-07,1,Outbound,Daily,08:03
SCH-BL-O01-08,BLUE,B-08,1,Outbound,Daily,08:04
SCH-BL-O01-09,BLUE,B-09,1,Outbound,Daily,08:07
SCH-BL-O01-10,BLUE,B-10,1,Outbound,Daily,08:20
SCH-BL-O02-01,BLUE,B-01,2,Outbound,Daily,08:30
SCH-BL-O02-02,BLUE,B-02,2,Outbound,Daily,08:31
SCH-BL-O02-03,BLUE,B-03,2,Outbound,Daily,08:31
SCH-BL-O02-04,BLUE,B-04,2,Outbound,Daily,08:32
SCH-BL-O02-05,BLUE,B-05,2,Outbound,Daily,08:32
SCH-BL-O02-06,BLUE,B-06,2,Outbound,Daily,08:32
SCH-BL-O02-07,BLUE,B-07,2,Outbound,Daily,08:33
SCH-BL-O02-08,BLUE,B-08,2,Outbound,Daily,08:34
SCH-BL-O02-09,BLUE,B-09,2,Outbound,Daily,08:37
SCH-BL-O02-10,BLUE,B-10,2,Outbound,Daily,08:50
SCH-BL-O03-01,BLUE,B-01,3,Outbound,Daily,09:00
SCH-BL-O03-02,BLUE,B-02,3,Outbound,Daily,09:01
SCH-BL-O03-03,BLUE,B-03,3,Outbound,Daily,09:01
SCH-BL-O03-04,BLUE,B-04,3,Outbound,Daily,09:02
SCH-BL-O03-05,BLUE,B-05,3,Outbound,Daily,09:02
SCH-BL-O03-06,BLUE,B-06,3,Outbound,Daily,09:02
